date,Open,High,Low,Close,Volume,head_shoulder_pattern
2023/11/3,34941.58,34946.5,34120,34716.78,39071.20644,
2023/11/4,34716.78,35255,34585.18,35062.07,18377.55545,
2023/11/5,35062.06,35380,34448,35011.88,24528.73376,
2023/11/6,35011.89,35276.33,34725.9,35046.09,22346.47086,
2023/11/7,35046.09,35888,34523.06,35399.12,38688.73692,
2023/11/8,35399.13,36106,35100,35624.72,33401.34137,
2023/11/9,35624.72,37972.24,35534.05,36701.09,82537.88885,
2023/11/10,36701.1,37526,36324.71,37301.63,43414.04898,
2023/11/11,37301.63,37408.26,36666.93,37130,22984.97235,
2023/11/12,37129.99,37222.22,36731.1,37064.13,17687.18874,
2023/11/13,37064.13,37417.99,36333,36462.93,32798.18252,
2023/11/14,36462.93,36744,34800,35551.19,45503.68416,
2023/11/15,35551.2,37980,35360,37858.2,53569.13385,
2023/11/16,37858.2,37929.54,35500,36163.51,47490.39566,
2023/11/17,36163.51,36800,35861.1,36613.92,38283.61112,
2023/11/18,36613.91,36845.49,36178.58,36568.1,17102.24186,
2023/11/19,36568.11,37500,36384.02,37359.86,21246.34648,
2023/11/20,37359.85,37750,36677,37448.78,36022.70291,
2023/11/21,37448.79,37649.44,35735,35741.65,47646.54804,
2023/11/22,35741.65,37861.1,35632.01,37408.34,45051.30697,
2023/11/23,37408.35,37653.44,36870,37294.28,23827.92882,
2023/11/24,37294.27,38414,37251.51,37713.57,44680.80646,
2023/11/25,37713.57,37888,37591.1,37780.67,11396.14464,
2023/11/26,37780.67,37814.63,37150,37447.43,21264.53723,
2023/11/27,37447.42,37569.23,36707,37242.7,30001.07376,
2023/11/28,37242.7,38377,36868.41,37818.87,37544.46667,
2023/11/29,37818.88,38450,37570,37854.64,32994.19107,
2023/11/30,37854.65,38145.85,37500,37723.96,24740.29147,
2023/12/1,37723.97,38999,37615.86,38682.52,43415.66324,
2023/12/2,38682.51,39717.14,38641.61,39450.35,26696.92161,
2023/12/3,39450.35,40250,39274.86,39972.26,26710.65335,
2023/12/4,39972.26,42420,39972.26,41991.1,79272.33059,
2023/12/5,41991.1,44488,41414,44073.32,67490.74644,
2023/12/6,44073.82,44297.21,43335.28,43762.69,51431.10492,
2023/12/7,43762.69,44047.33,42821.1,43273.14,47103.26845,
2023/12/8,43273.15,44700,43081.1,44170.99,42900.37556,
2023/12/9,44171,44358.02,43584.51,43713.6,24925.97008,
2023/12/10,43713.59,44049,43563,43789.51,18956.61758,
2023/12/11,43789.5,43804.5,40222,41253.4,76663.89804,
2023/12/12,41253.41,42104.12,40680,41492.39,42722.69773,
2023/12/13,41492.38,43475.2,40555,42869.03,45865.99773,
2023/12/14,42869.03,43420,41400,43022.26,42047.05709,
2023/12/15,43022.26,43080.81,41666,41940.3,33421.7932,
2023/12/16,41940.29,42724.43,41605,42278.03,24118.85747,
2023/12/17,42278.02,42424.07,41252,41374.65,27722.11452,
2023/12/18,41374.64,42757.81,40542.93,42657.8,46734.0925,
2023/12/19,42657.8,43497,41811.1,42275.99,40927.86444,
2023/12/20,42275.99,44283,42206,43668.93,48710.2947,
2023/12/21,43668.92,44242.35,43286.72,43861.8,34624.29384,
2023/12/22,43861.79,44398.26,43412.54,43969.04,32783.19638,
2023/12/23,43969.04,43988.68,43291.1,43702.16,16557.1293,
2023/12/24,43702.15,43946,42500,42991.5,25144.33496,
2023/12/25,42991.5,43802.32,42720.43,43576.13,27021.23992,
2023/12/26,43576.12,43592.68,41637.6,42508.93,41010.04282,
2023/12/27,42508.93,43677,42098.69,43428.85,36191.21136,
2023/12/28,43428.86,43787.57,42241.79,42563.76,35150.52485,
2023/12/29,42563.76,43111,41300,42066.95,42597.18912,
2023/12/30,42066.94,42612.32,41520.3,42140.28,22906.57818,
2023/12/31,42140.29,42899,41965.84,42283.58,23585.91603,
2024/1/1,42283.58,44184.1,42180.77,44179.55,27174.29903,
2024/1/2,44179.55,45879.63,44148.34,44946.91,65146.40661,
2024/1/3,44946.91,45500,40750,42845.23,81194.55173,
2024/1/4,42845.23,44729.58,42613.77,44151.1,48038.06334,
2024/1/5,44151.1,44357.46,42450,44145.11,48075.25327,
2024/1/6,44145.12,44214.42,43397.05,43968.32,17835.06144,
2024/1/7,43968.32,44480.59,43572.09,43929.02,23023.8508,
2024/1/8,43929.01,47248.99,43175,46951.04,72814.57589,
2024/1/9,46951.04,47972,44748.67,46110,69927.66617,
2024/1/10,46110,47695.93,44300.36,46653.99,89911.41203,
2024/1/11,46654,48969.48,45606.06,46339.16,87470.3296,
2024/1/12,46339.16,46515.53,41500,42782.73,86327.93707,
2024/1/13,42782.74,43257,42436.12,42847.99,36118.47464,
2024/1/14,42847.99,43079,41720,41732.35,28228.40894,
2024/1/15,41732.35,43400.43,41718.05,42511.1,40269.89303,
2024/1/16,42511.1,43578.01,42050,43137.95,45045.74589,
2024/1/17,43137.94,43198,42200.69,42776.1,33266.21388,
2024/1/18,42776.09,42930,40683.28,41327.5,43907.51641,
2024/1/19,41327.51,42196.86,40280,41659.03,48342.74559,
2024/1/20,41659.03,41872.56,41456.3,41696.04,15923.99493,
2024/1/21,41696.05,41881.39,41500.98,41580.33,11730.16301,
2024/1/22,41580.32,41689.65,39431.58,39568.02,55426.19911,
2024/1/23,39568.02,40176.74,38555,39897.6,57956.63351,
2024/1/24,39897.59,40555,39484.19,40084.88,39293.82861,
2024/1/25,40084.89,40300.24,39550,39961.09,31022.11853,
2024/1/26,39961.09,42246.82,39822.52,41823.51,47384.96726,
2024/1/27,41823.51,42200,41394.34,42120.63,16224.41667,
2024/1/28,42120.63,42842.68,41620.81,42031.06,27294.99838,
2024/1/29,42031.05,43333,41804.88,43302.7,31542.74207,
2024/1/30,43302.71,43882.36,42683.99,42941.1,37619.24546,
2024/1/31,42941.1,43745.11,42276.84,42580,39871.13688,
2024/2/1,42580,43285.13,41884.28,43082.94,35231.04664,
2024/2/2,43082.95,43488,42546.79,43200,29672.14418,
2024/2/3,43199.99,43380.01,42880,43011.09,12033.40998,
2024/2/4,43011.1,43119.04,42222,42582.88,17066.89404,
2024/2/5,42582.88,43569.76,42258.1,42708.7,29467.75905,
2024/2/6,42708.7,43399.98,42574,43098.95,24675.85433,
2024/2/7,43098.96,44396.5,42788,44349.6,34392.59915,
2024/2/8,44349.6,45614.3,44331.1,45288.65,45439.62231,
2024/2/9,45288.66,48200,45242.12,47132.77,73503.481,
2024/2/10,47132.78,48170,46800,47751.09,24802.35936,
2024/2/11,47751.08,48592.66,47557.16,48299.99,29958.80837,
2024/2/12,48300,50334.82,47710.01,49917.27,59009.96705,
2024/2/13,49917.28,50368.61,48300.95,49699.59,55551.56706,
2024/2/14,49699.6,52043.71,49225.01,51795.17,57046.37401,
2024/2/15,51795.17,52816.62,51314,51880,53816.03055,
2024/2/16,51880.01,52572.08,51566,52124.11,37772.25318,
2024/2/17,52124.1,52162.82,50625,51642.64,25674.00622,
2024/2/18,51642.64,52377,51163.28,52137.67,21992.10363,
2024/2/19,52137.68,52488.77,51677,51774.73,29534.99432,
2024/2/20,51774.74,52985,50760.37,52258.82,49614.47318,
2024/2/21,52258.82,52366.8,50625,51849.39,43079.40049,
2024/2/22,51849.38,52065.78,50940.78,51288.42,35309.44574,
2024/2/23,51288.42,51548.54,50521,50744.15,30545.79544,
2024/2/24,50744.15,51698,50585,51568.22,16560.4211,
2024/2/25,51568.21,51958.55,51279.8,51728.85,18721.63159,
2024/2/26,51728.85,54910,50901.44,54476.47,51256.72199,
2024/2/27,54476.48,57588.15,54450.13,57037.34,67194.98562,
2024/2/28,57037.35,64000,56691.85,62432.1,118763.4698,
2024/2/29,62432.11,63676.35,60364.7,61130.98,78425.07603,
2024/3/1,61130.99,63114.23,60777,62387.9,47737.93473,
2024/3/2,62387.9,62433.19,61561.12,61987.28,25534.73659,
2024/3/3,61987.28,63231.88,61320,63113.97,28994.90903,
2024/3/4,63113.97,68499,62300,68245.71,84835.16005,
2024/3/5,68245.71,69000,59005,63724.01,132696.7813,
2024/3/6,63724.01,67641.1,62779.14,66074.04,78738.85491,
2024/3/7,66074.04,67980,65551,66823.17,53059.8869,
2024/3/8,66823.18,69990,66082.66,68124.19,74261.93284,
2024/3/9,68124.2,68541.1,67861.1,68313.27,19872.89743,
2024/3/10,68313.28,69887.61,68094.75,68955.88,38404.66835,
2024/3/11,68955.88,72800,67024.96,72078.1,75292.82573,
2024/3/12,72078.1,73000,68620.82,71452.01,68783.54669,
2024/3/13,71452,73650.25,71333.31,73072.41,52659.71165,
2024/3/14,73072.4,73777,68555,71388.94,71757.62875,
2024/3/15,71388.94,72419.71,65600,69499.85,103334.0355,
2024/3/16,69499.84,70043,64780,65300.63,55926.95336,
2024/3/17,65300.64,68904.4,64533,68393.48,49742.21589,
2024/3/18,68393.47,68956,66565.2,67609.99,55691.08088,
2024/3/19,67610,68124.11,61555,61937.4,101005.3249,
2024/3/20,61937.41,68100,60775,67840.51,90420.58592,
2024/3/21,67840.51,68240.47,64529.01,65501.27,53357.48002,
2024/3/22,65501.28,66649.62,62260,63796.64,51482.37821,
2024/3/23,63796.64,65999,63000,63990.01,26410.11409,
2024/3/24,63990.02,67628.69,63772.29,67209.99,31395.78015,
2024/3/25,67210,71150,66385.06,69880.01,53431.14486,
2024/3/26,69880,71561.1,69280,69988,38934.38417,
2024/3/27,69987.99,71769.54,68359.18,69469.99,49119.35685,
2024/3/28,69469.99,71552.06,68903.62,70780.6,35439.03239,
2024/3/29,70780.6,70916.16,69009,69850.54,25445.08353,
2024/3/30,69850.53,70321.1,69540,69582.18,13644.61142,
2024/3/31,69582.17,71366,69562.99,71280.01,19396.34433,
2024/4/1,71280,71288.23,68062.86,69649.8,41445.32039,
2024/4/2,69649.81,69674.23,64550,65463.99,71799.82793,
2024/4/3,65463.99,66903.63,64493.07,65963.28,39887.21778,
2024/4/4,65963.27,69309.91,65064.52,68487.79,41510.48453,
2024/4/5,68487.8,68756.67,65952.56,67820.62,37915.23073,
2024/4/6,67820.63,69692,67447.83,68896,20134.28919,
2024/4/7,68896,70326.29,68824,69360.39,21534.74433,
2024/4/8,69360.38,72797.99,69043.24,71620,45723.87624,
2024/4/9,71620,71758.19,68210,69146,39293.90242,
2024/4/10,69146,71172.08,67518,70631.08,42006.02377,
2024/4/11,70631.08,71305.89,69567.21,70006.23,31917.25595,
2024/4/12,70006.22,71227.46,65086.86,67116.52,56072.86229,
2024/4/13,67116.52,67929,60660.57,63924.51,71395.22019,
2024/4/14,63924.52,65840,62134,65661.84,61599.17818,
2024/4/15,65661.85,66867.07,62274.4,63419.99,52386.48524,
2024/4/16,63419.99,64365,61600,63793.39,53435.29331,
2024/4/17,63793.4,64499,59678.16,61277.37,50607.6218,
2024/4/18,61277.38,64117.09,60803.35,63470.08,43601.60918,
2024/4/19,63470.09,65450,59600.01,63818.01,69765.33605,
2024/4/20,63818.01,65419,63090.07,64940.59,23137.37767,
2024/4/21,64940.58,65695.56,64608,64973.53,6937.62359,
